name,japanese_name,unlock,description,i_school_year,birthday,i_star_sign,i_blood_type,extra_activity,catchphrase_1,catchphrase_2,height,weight,bust,waist,hip,hobby_1,hobby_2,hobby_3,food_likes,food_dislikes,family,dream,ideal_1,ideal_2,ideal_3,pastime,destress,fav_memory,fav_phrase,secret,CV,romaji_CV,image,full_image,signature,phrase_1,phrase_2,introduction_1,Introduction_2,owner_id
Minami Hinata,南 ひなた,8-7,"Growing up in a large family, she’s the shining hope of Hoshimori class.",0,2017-04-15,3,0,Softball club,"“Hey hey, listen, listen~!”","“Yay, yaay~!”",141,35,76,55,74,Talking,"Thrilling amusement park rides (Rollercoasters, freefalls, waterslides,  swing rides, pirate ships)",Bug collecting,Omelette rice,Green peppers,"Dad, mom, 3 older sisters, 2 older brothers",Toy store owner,Wakaba Subaru,Singer,Professional softball player,Plays catch with her big brothers,Talks,Listening to the singer at her first concert,“This is fun!”,"She secretly puts on her older sisters’ clothes and makeup and pretends to be a grown-up. Even though she wants to look more mature more than anything, she doesn’t tell anyone because of her undeveloped figure. However, she can tell her older sisters about it just fine.",五十嵐 裕美,Igarashi Hiromi,hoshimori/static/uploaded/s/11.png,hoshimori/static/uploaded/s/full/11.png,hoshimori/static/uploaded/s/sign/11.png,hoshimori/static/uploaded/s/voices/01_11.mp3,hoshimori/static/uploaded/s/voices/02_11.mp3,hoshimori/static/uploaded/s/voices/03_11.mp3,hoshimori/static/uploaded/s/voices/04_11.mp3,1
Sendouin Kaede,千導院 楓,9-4,"She’s a self-centered princess-type, but she tries to make up for it by doing her best.",1,2017-12-24,0,1,Art club,"“Ah, good day to you.”",“W-What is that…?”,154,42,78,55,76,Studying the food of commoners,Drawing,Museum tours,Instant noodle,Food that’s eaten with chopsticks,"Father, mother, older brother, younger sister",Artist,The first head of the Sendoin family,A painter,Hoshitsuki Miki,Goes horseback riding,Takes a walk around town,Receiving a present from Santa,“Good day to you.” (She likes how elegant it sounds),"She thought Santa was real all the way up to 6th grade. However, since there isn’t really any solid proof that he doesn’t exist, she still secretly believes in him, though she’d never tell a soul. She just thinks that it’d be nice to someday visit Santa’s workshop. ",木戸 衣吹,Kido Ibuki,hoshimori/static/uploaded/s/12.png,hoshimori/static/uploaded/s/full/12.png,hoshimori/static/uploaded/s/sign/12.png,hoshimori/static/uploaded/s/voices/01_12.mp3,hoshimori/static/uploaded/s/voices/02_12.mp3,hoshimori/static/uploaded/s/voices/03_12.mp3,hoshimori/static/uploaded/s/voices/04_12.mp3,1
Watagi Michelle,綿木 ミシェル,10-1,"Loves cute things, she’s a baby animal-like girl who wants to be spoiled.",1,2017-06-03,5,0,Handicraft club,“Mumi~…”,“Bonjour~!”,145,39,84,56,78,Knitting,Drawing,Playing with stuffed animals,Pancakes,Spicy food,"Dad, mom, older sister",To become a stuffed animal,Stuffed bunnies,Mama,The princess of Stuffieland,Plays with stuffed animals,Surrounds herself with stuffed animals,Going to France for the first time as a child,“Fluffy fluffy”,"She regularly has nightmares about the irous successfully defeating and destroying the Hoshimori. As the dreams become increasingly more lucid, she fears that they might come true.",加藤 英美里,Katou Emiri,hoshimori/static/uploaded/s/13.png,hoshimori/static/uploaded/s/full/13.png,hoshimori/static/uploaded/s/sign/13.png,hoshimori/static/uploaded/s/voices/01_13.mp3,hoshimori/static/uploaded/s/voices/02_13.mp3,hoshimori/static/uploaded/s/voices/03_13.mp3,hoshimori/static/uploaded/s/voices/04_13.mp3,1
Asahina Kokomi,朝比奈 心美,11-1,"Shy and a bit of a crybaby, she is a kind-hearted shrine maiden.",2,2017-10-02,9,1,Astronomy club,“The stars sure are beautiful.”,“I won’t lose anymore!”,154,44,89,62,87,Stargazing,Studying constellations,Taking care of others,Cream stew,Nothing in particular,"Dad, mom, little sister",Astronomer,Mom,Dad,Astronomer,Reads books on astronomy,Goes to the planetarium,Learning about stars,“Courage”,"Even though she’s a shrine maiden, she’s never pulled any fortune other than “worst luck”. Because she doesn’t want people to think of her as the “rotten luck girl” or the “comes-up-with-nothing girl”, she hasn’t told anybody. She’s developed a complete fear of pulling fortunes.",原田 ひとみ,Harada Hitomi,hoshimori/static/uploaded/s/14.png,hoshimori/static/uploaded/s/full/14.png,hoshimori/static/uploaded/s/sign/14.png,hoshimori/static/uploaded/s/voices/01_14.mp3,hoshimori/static/uploaded/s/voices/02_14.mp3,hoshimori/static/uploaded/s/voices/03_14.mp3,hoshimori/static/uploaded/s/voices/04_14.mp3,1
Hasumi Urara,蓮見 うらら,11-4,A bubbly little devil with a super cute smile.,2,2017-02-03,1,2,Swim club,“Don’t you think Urara is cute…?~”,“Heeey~ Pretty pleease~”,150,38,82,54,80,Idol research,Cosplay,Collecting information about others,Marshmallow,Natto,"Dad, mom, (siscon) older brother",Idol,A successful idol,An idol who is also part of Hoshimori,An idol who can fight,Researches information about idols,Dances and sings at karaoke,Going to an idol concert for the first time,“Make your dreams come true!”,"In 5th grade, she entered a Pretty Girl Grand Prix, but was disqualified from just the document review stage… Since then, she hasn’t entered any other contests because of the trauma she suffered. However, she doesn’t know that the only reason she lost was because her submitted documents were invalid. ",内田 真礼,Uchida Maaya,hoshimori/static/uploaded/s/15.png,hoshimori/static/uploaded/s/full/15.png,hoshimori/static/uploaded/s/sign/15.png,hoshimori/static/uploaded/s/voices/01_15.mp3,hoshimori/static/uploaded/s/voices/02_15.mp3,hoshimori/static/uploaded/s/voices/03_15.mp3,hoshimori/static/uploaded/s/voices/04_15.mp3,1
Sadone,サドネ,44-7,"A lonely, naive little girl who is as innocent as a lamb.",0,2017-12-07,11,4,None,“Lonely…”,"“Onii-chan, where are you?”",147,39,85,54,77,Playing with stuffies,Sewing,Being with onii-chan,Chocolate,Anything that isn’t sweet,Her stuffies,To have a real family of her own,Onii-chan,Kaede,Renge (She admires her body type),Patches up her old stuffies,Bothers onii-chan,Meeting onii-chan,“Together forever”,"She found a tasty looking chocolate in Kaede’s room and thought it would be okay to take a bite out of it it secretly. She didn’t find out until later that it was actually an important gift Kaede had bought for her father, and had left a rather impressionable bite mark on it.",悠木 碧,Yuuki Aoi,hoshimori/static/uploaded/s/16.png,hoshimori/static/uploaded/s/full/16.png,hoshimori/static/uploaded/s/sign/16.png,hoshimori/static/uploaded/s/voices/01_16.mp3,hoshimori/static/uploaded/s/voices/02_16.mp3,hoshimori/static/uploaded/s/voices/03_16.mp3,hoshimori/static/uploaded/s/voices/04_16.mp3,1
Kougami Kanon,煌上 花音,60-7,An intelligent and passionate charismatic idol.,4,2017-08-28,8,3,Track and field club,"“I’m not done yet, here I go!”",“Follow me!”,157,43,85,55,83,Dance,Making models,Running,Dried Bonito flakes,Gross looking food,"Dad, mom, little brother, lizard",Olympic Games gold medalist,Kunieda Shiho,Mama,Stray cats,Singing and dancing lessons,Dances until she drops,Being saved by Shiho,"“No pain, no gain”","She keeps all letters and accessories she has gotten from Shiho in her treasure box, though Shiho doesn’t know of this. The key to her treasure box is hidden in her chest. She calls it “the key to her memories”.",本渡 楓,Hondo Kaede,hoshimori/static/uploaded/s/17.png,hoshimori/static/uploaded/s/full/17.png,,hoshimori/static/uploaded/s/voices/01_17.mp3,hoshimori/static/uploaded/s/voices/02_17.mp3,hoshimori/static/uploaded/s/voices/03_17.mp3,hoshimori/static/uploaded/s/voices/04_17.mp3,1
Kunieda Shiho,国枝 詩穂,60-7,"Filled with patience, she’s everybody’s idol.",4,2017-10-24,10,0,Literature club,"“Come on, pull yourself together~ “",“The truth will smile upon us!”,161,50,89,62,93,Reading mystery novels,Singing,Going to the theater,Nikujaga,Gourmet food,"Dad, mom, 3 little sisters, 2 little brothers, hamster","To become a “Good Wife, Wise Mother”",Kougami Kanon,A British detective,Spot-billed duck parent and child,Does housework,Tickles Kanon,Becoming an idol with Kanon,“There’s no end to education”,"One time, while she was playing detective, she stumbled upon a fishy underground transaction. She stepped into the situation without thinking, but it turns out that she had interrupted the shooting of a TV drama.",下地 紫野,Shimoji Shino,hoshimori/static/uploaded/s/18.png,hoshimori/static/uploaded/s/full/18.png,,hoshimori/static/uploaded/s/voices/01_18.mp3,hoshimori/static/uploaded/s/voices/02_18.mp3,hoshimori/static/uploaded/s/voices/03_18.mp3,hoshimori/static/uploaded/s/voices/04_18.mp3,1
Sakaide Mari,酒出 茉梨,100-7,"With a pure heart, she’s the “Top Hoshimori” who yearns for strength",5,2017-05-25,5,0,Choir,“I have to become stronger...”,“There’s no secret trick to this~”,155,45,89,58,86,Magic tricks,Humming,Trying out new products at the convenience store,Sata andagi (Okinawan donuts),Natto,"Father, mother",Secret!,Yakumo Itsuki,Mitsurugi Fuuran ,A broad-minded person,Practices magic tricks,Talks to her pet java finch,Defeating an irous as a 3-unit group for the first time ,“Dear friend”,"The truth is, she’s actually an idol otaku. Night after night, she’ll watch DVDs of idol concerts and try to learn the choreography. One day, she’d like to dance and sing while performing magic tricks, but she doesn’t have the courage to perform in front of other people.",千本木 彩花,Senbongi Sayaka,hoshimori/static/uploaded/s/19.png,hoshimori/static/uploaded/s/full/19.png,,,,,,1
Yakumo Itsuki,八雲 樹,100-7,"Earnest and frank, she’s the brains behind the ‘Top Hoshimori’",5,2017-11-23,11,1,Literature club,“Ahn~~ I want to eat curry~”,,160,45,86,58,87,Going to the library,Drawing,Computer,Curry,Sea cucumber,Mother,Librarian,Father,Kamine Botan,Sakaide Mari,Reading,Karaoke by herself,Defeating an irous with Mitsurugi and Sakaide for the first time,"“When life gives you lemons, make lemonade.”","There isn’t anybody out there who isn’t aware of how much she likes to read. The truth is that there’s a part of her that also wants to write manga. However, she’s absolutely terrible at drawing. Even though she tries to draw at least once a day, she’s devastated to find that she hasn’t been able to improve at all.",日高 のり子,Hidaka Noriko,hoshimori/static/uploaded/s/20.png,hoshimori/static/uploaded/s/full/20.png,,,,,,1
Mitsurugi Fuuran,御剣 風蘭,100-7,The widely renowned attacker of the ‘Top Hoshimori’,5,2017-05-19,4,2,Going-home club,“I wanna skip school...”,“What to play~”,165,55,93,58,87,Inventing,Fighting,Martial arts,Finger foods,Sweets,"Father, mother",Bride,Kamine Botan,Mother ,No one else in particular ,Lazes around,Gets into a fight,Defeating an irous as a 3-person unit for the first time,“Tomorrow is another day”,"She pretends like she doesn’t care about boys at all, but the truth is that she’s very interested in them. Her dream for the future is to become a bride. However, she knows that she’ll only be laughed at, so she keeps it silent.",福原 綾香,Fukuhara Ayaka,hoshimori/static/uploaded/s/21.png,hoshimori/static/uploaded/s/full/21.png,,,,,,1
Kusunoki Asuha (Middle School Year 1),楠 明日葉 （中1）,100-7,Hoshimori-in-training who admires the ‘Top Hoshimori’,0,2017-01-18,0,1,Going-home club,“The seniors are so amazing. I’m impressed!”,"“I too, one day, will become the strongest Hoshimori!”",148,42,77,53,82,Meditation,Tea ceremony,Calligraphy,Soba,Western food,"Father, mother, big brother, grandmother",Soba maker,Mother,Yakumo Itsuki,Sakaide Mari,"Reads over her Hoshimori special training notebook, which she writes in every day",Eats soba,Becoming a Hoshimori,“In all sincerity”,"It’s only a secret she’s keeping from her parents, but she wants to be a soba maker when she grows up. She thinks that she’d be able to operate a stone mill by herself, but it’s the heavy lifting and moving that she can’t do.",田村 睦心,Tamura Mutsumi,hoshimori/static/uploaded/s/22.png,hoshimori/static/uploaded/s/full/22.png,,,,,,1
