"id","owner_id","card_type","i_card_type","name","japanese_name","character","i_character","rarity","i_rarity","weapon","i_weapon","obtain_method","image","special_icon","art","special_front","front_top","front_bottom","front_name","front_rarity","front_weapon","transparent","subcard_effect","hp_1","sp_1","atk_1","def_1","hp_50","sp_50","atk_50","def_50","hp_70","sp_70","atk_70","def_70","skill_name","japanese_skill_name","skill_SP","skill_range","skill_affinity","i_skill_affinity","action_skill_effects","skill_comment","skill_preview","action_skill_combo","evolved_action_skill_combo","action_skill_damage","evolved_action_skill_damage","nakayoshi_title","japanese_nakayoshi_title","nakayoshi_skill_requirement","nakayoshi_skill_effect","nakayoshi_skill_target","evolved_nakayoshi_skill_requirement","evolved_nakayoshi_skill_effect","evolved_nakayoshi_skill_target","charge_comment","charge_damage","charge_hit","charge_name","charge_range"
"509","1","normal","0","【Hoshimori Maid '16】 Renge","【星守メイド’16】蓮華","蓮華","8","★★★★","3"," 矛","1","Limited Gacha: School Fes OPEN Event Gacha","hoshimori/static/uploaded/c/icon/Card_80059_s.png","","hoshimori/static/uploaded/c/art/Card_80059.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_08_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_2.png","","false","1932","502","1020","810","3688","1083","2233","1771","4150","1238","2550","2025","","センチメンタルナイト","5","All directions medium range","無視武器屬性","1","20秒間、吹き飛び無効付加","攻撃＋吹き飛び無効（長）付加
武器相性無視
日が暮れた後にキャンプファイヤーは少し切ない","hoshimori/static/uploaded/c/skill/renge_maid16.gif","22","22","26 times","30 times","","胸がキュンてしちゃう","","HP +7%, Damage +8%","Everyone","","HP +10%, Damage +10%","Everyone","","","","",""
"128","1","normal","0","【Summer Uniform】 Sakura","【夏制服】桜","桜","10","★★","1"," 槌","2","Regular Gacha (Until 2015/11/30 14:59)","hoshimori/static/uploaded/c/icon/Card_100012_s.png","","hoshimori/static/uploaded/c/art/Card_100012.png","","","","","","","","false","1227","198","642","580","1818","333","1081","977","2454","478","1555","1404","","ブレイク・バーン","67","Front small range","","0","","前方に範囲攻撃
渾身の力で槌を叩き付け、衝撃波を起こす","","9","9","5 times","","","居眠りはしておらんぞ","","SP +5%","Year 1 Students","","","","","","","",""
"680","1","normal","0","【Yukata '15】 Michelle (White Day Reprint)","【浴衣’15】ミシェル(ホワイトデー復刻)","ミシェル","13","★★★★","3"," 杖","4","Limited Gacha: White Selection Event Gacha","hoshimori/static/uploaded/c/icon/Card_130073_s.png","hoshimori/static/uploaded/c/icon/special/Card_icn_WhiteDay2017.png","hoshimori/static/uploaded/c/art/Card_130073.png","hoshimori/static/uploaded/c/art/special/Card_fr_WhiteDay2017.png","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_13_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_5.png","","false","1302","640","965","620","2339","1399","2110","1357","2631","1600","2411","1551","","露天スナイパー","330","All directions medium range x3","無視武器屬性","1","10秒間遠距離攻撃無効","前方多段＋遠距離無効（短）
射的で撃ち落した景品が彼女の力となる","hoshimori/static/uploaded/c/skill/mimi_yukata.gif","13","13","4 times x3 + 38.3 times","","","1等賞♪","After 11 combo","Combo Damage +6%","Everyone","After 6 combo","Combo Damage +8%","Everyone","","","","",""
"45","1","normal","0","【Plain Clothes】 Urara","【私服】うらら","うらら","15","★★","1"," 矛","1","Regular Gacha (After 2017/06/20 14:59)","hoshimori/static/uploaded/c/icon/Card_150014_s.png","","hoshimori/static/uploaded/c/art/Card_150014.png","","","","","","","","false","1389","200","670","463","2059","336","1127","780","2779","483","1621","1122","","メタルアーマー","146","Self","","0","約15秒間、被ダメージ約0.75倍","使用者の被ダメージをダウン
周囲に薄い空気の層を展開して、ダメージを軽減する","","10","10","","","","チャンスはつかむもの","","HP +3%","Year 3 Students","","","","","","","",""
"870","1","normal","0","【Swimsuit '15】 Haruka (Anime Commemoration Reprint)","【水着’15】遥香(ｱﾆﾒ記念復刻)","遥香","3","★★★★","3"," 劍","0","Anime Airing Commemoration Gacha ","hoshimori/static/uploaded/c/icon/Card_39030_s.png","hoshimori/static/uploaded/c/icon/special/Card_icn_AnimeStart.png","hoshimori/static/uploaded/c/art/Card_39030.png","hoshimori/static/uploaded/c/art/special/Card_fr_AnimeStart.png","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_03_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_1.png","","false","1330","400","864","868","2534","875","1890","1899","2850","1000","2160","2170","","アクアテラリウム","175","All directions medium range","無視武器屬性","1","10秒間ダメージ無効","周囲攻撃＋ダメージ無効（短）
武器相性無視
海に愛された彼女は、水柱を巻き起こす力を得る","hoshimori/static/uploaded/c/skill/haruka_mizugi.gif","13","13","Approx. 10 times","","","海鮮丼大盛り","","HP +8%, Attack Power +3%","Year 1 Students","","HP +10%, Attack Power +4%","Year 1 Students","","","","",""
"864","1","normal","0","【Winter Date】 Miki (Anime Commemoration Reprint)","【冬デート】みき(ｱﾆﾒ記念復刻)","みき","1","★★★★","3"," 槍","3","Anime Airing Commemoration Gacha 'Hoshitsuki Miki'","hoshimori/static/uploaded/c/icon/Card_19061_s.png","hoshimori/static/uploaded/c/icon/special/Card_icn_AnimeStart.png","hoshimori/static/uploaded/c/art/Card_19061.png","hoshimori/static/uploaded/c/art/special/Card_fr_AnimeStart.png","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_01_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_4.png","","false","1539","577","1030","1017","2931","1257","2254","2227","3298","1434","2575","2543","","ルミナスファンタジー","288","All directions large range","無視武器屬性","1","15秒間、パーティ全員に得意or苦手発動時与ダメージ2倍付与","味方全員の相性UP＋攻撃
武器相性無視
この風景を一緒に見ることができて、私、うれしいです","hoshimori/static/uploaded/c/skill/miki_winterdate.gif","13","13","18 times","20.7 times","","たくさんの光の中で","After 10 combo","Attack Power +6%, SP +12%","Spear, Gunblade, Twin Barrett","After 5 combo","Attack Power +7%, SP +12%","Spear, Gunblade, Twin Barrett","","","","",""
"960","1","sub","2","【Subcard Only】 Anime Airing Commemoration (Urara)","【サブカ専用】ｱﾆﾒ放送記念(うらら)","うらら","15","★★★★","3"," 杖","4","Permanent Gacha: 'Part 4 Story Gacha","hoshimori/static/uploaded/c/icon/Card_159080_s.png","","hoshimori/static/uploaded/c/art/Card_159080.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_15_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_5.png","","false","1650","600","1350","1000","3000","1000","2000","1700","4650","1500","2850","2500","","オース・ユナイト","333","All directions large range","無視弱勢","2","20秒間、スキルダメージ150％UP＋隕石付加＋嵐付加","スキル大強化（長）＆隕石付加（最大3）＆嵐付加（最大3）＋2回攻撃
苦手無視
ひとりひとりの想いが大きな力となり、未来へ繋がる","hoshimori/static/uploaded/c/skill/animekinen.gif","14","14","3.45 times + 17.25 times","","","","","","","","","","","","","",""
"797","1","normal","0","【House Date】 Kurumi","【おうちデート】くるみ","くるみ","6","★★★★","3"," 劍","0","Permanent Gacha: 'Hoshimori Gacha'2017/06/09 15:00 ~ (UTC+9)","hoshimori/static/uploaded/c/icon/Card_60078_s.png","hoshimori/static/uploaded/c/icon/special/Card_icn_SubCardSkill.png","hoshimori/static/uploaded/c/art/Card_60078.png","hoshimori/static/uploaded/c/art/special/Card_fr_SubCardSkill.png","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_06_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_1.png","","true","1503","527","1064","1245","2862","1151","2327","2724","3220","1316","2660","3092","","グリート・プランツ","270","Front large range","無視武器屬性","1","15秒間、遠距離攻撃無効＋嵐付与","3回攻撃＋嵐付加（最大3）＆遠距離攻撃無効
武器相性無視
新しい植物さんをお迎えしなきゃ……","hoshimori/static/uploaded/c/skill/kurumi_ouchidate.gif","13","13","12.5 times x3","14.375 times x3","","家族が増えました","After 10 combo","Damage +10%, Combo Damage +30%","Sword","After 5 combo","Damage +15%, Combo Damage +30%","Sword","","","","",""
"512","1","normal","0","【Hoshimori Maid '16】 Kokomi","【星守メイド’16】心美","心美","14","★★★★","3"," 杖","4","Limited Gacha: School Fes OPEN Event Gacha","hoshimori/static/uploaded/c/icon/Card_140059_s.png","","hoshimori/static/uploaded/c/art/Card_140059.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_14_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_5.png","","false","2057","600","1042","642","3695","1312","2280","1406","3997","1500","2605","1607","","ブラッシュアプローチ","326","All directions large range","無視武器屬性","1","20秒間、SP回復エリア設置（回復量：最大SPの1.5％×21）","攻撃＋SP回復エリア設置（長）
武器相性無視
ほっぺたのクリームをふいてあげたら予想外の急接近!?","hoshimori/static/uploaded/c/skill/kokomi_maid16.gif","13","13","18 times","20.7 times","","ふいてあげますね","","SP +6%, SP Consumption -10%","Everyone","","SP +9%, SP Consumption -15%","Everyone","","","","",""
"835","1","normal","0","【New Uniform】 Kokomi","【新制服】心美","心美","14","★★","1"," 矛","1","Regular Gacha (After 2017/06/20 15:00)","hoshimori/static/uploaded/c/icon/Card_140080_s.png","","hoshimori/static/uploaded/c/art/Card_140080.png","","","","","","","","false","1066","311","653","480","1579","521","1100","809","2132","751","1582","1163","","旋風槍","69","All directions small range","","0","","周囲の敵を多段攻撃
旋風のごとき速さで周囲の敵を突き貫く","","10","10","0.7 times x3 + 1.4 times","","","奥手巫女","","Attack Power +1%","Everyone","","","","","","","",""
"532","1","normal","0","【Sleeping Beauty】 Sakura","【眠り姫名演技中】桜","桜","10","★★★★","3"," 槍","3","Joint School Fes Commemoration Login Bonus Challenge","hoshimori/static/uploaded/c/icon/Card_100033_s.png","","hoshimori/static/uploaded/c/art/Card_100033.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_10_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_4.png","","false","1394","462","940","851","2655","1007","2057","1859","2988","1150","2350","2125","","アンダーマイン","201","Around enemy small range","","0","敵に猛毒（3秒）の効果","敵を猛毒（極短）にする
眠り姫の役なら、寝てるだけだから楽じゃな","hoshimori/static/uploaded/c/skill/sakura_nemurihime.gif","10","10","","","","ごろごろしておくか","","SP Consumption -15%","Everyone","","SP Consumption -15%, Movement Rate +(M)","Everyone","","","","",""
