stage_name,part,episode,stage_number,easy_level,easy_exp,easy_coins,easy_cheerpoint,easy_objectives,normal_level,normal_exp,normal_coins,normal_cheerpoint,normal_objectives,hard_level,hard_exp,hard_coins,hard_cheerpoint,hard_objectives,small_irousu,large_irousu,drops
Recapture Lesson 3-5: 3rd period,1,3,5,2,12,55,95,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Clear stage within 90 seconds",16,15,75,135,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Clear stage within 60 seconds",73,30,150,275,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Clear stage within 120 seconds",5,8,"黄の花
ロッド・ピース"
Recapture Lesson 3-6: 4th period,1,3,6,2,24,65,91,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",18,39,78,130,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",76,66,169,260,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","5,14",8,"黄の花
カーマイン・コア
スピア・ピース"
Recapture Lesson 4-2: 1st period,1,4,2,3,24,115,46,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",19,48,161,69,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",78,69,322,115,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,5,14,21",8,"黄の花
碧の涙
ブロンズ・メタル"
Recapture Lesson 4-3: 2nd period,1,4,3,3,24,115,46,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",21,48,161,69,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",80,69,322,115,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,5,14,21",8,"ハンマー・ピース
カーマイン・コア"
Recapture Lesson 4-5: 3rd period,1,4,5,3,24,66,93,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",23,63,93,124,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",82,63,186,248,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,2,5,14,21",8,"ガン・ピース
黄の花"
Recapture Lesson 4-6: 4th period,1,4,6,8,28,75,74,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",25,39,111,111,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",85,75,222,222,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage with two team members or fewer","14,5,1,21",8,"スピア・ピース
ロッド・ピース"
Recapture Lesson 5-2: 1st period,1,5,2,3,28,56,112,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",22,57,84,140,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",79,57,140,308,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,5,21,25",7,"ソード・ピース
ハンマー・ピース"
Recapture Lesson 5-3: 2nd period,1,5,3,3,32,46,128,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",24,66,64,160,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",81,66,128,352,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","1,2,5,14,25",27,"ガン・ピース
碧の涙
ブロンズ・メタル"
Recapture Lesson 5-5: 3rd period,1,5,5,4,30,116,58,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",26,60,145,87,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",84,60,290,174,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","2,14,5,21","7,8","ロッド・ピース
カーマイン・コア"
Recapture Lesson 5-6: 4th period,1,5,6,4,32,124,62,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",29,63,155,93,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",86,63,279,186,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","25,1,14,21","7,27","ガン・ピース
ソード・ピース
ブロンズ・メタル"
Recapture Lesson 6-2: 1st period,1,6,2,4,26,75,72,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",31,36,108,144,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",89,72,216,252,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,2,3,4",,"碧の涙
ガン・ピース
ブロンズ・メタル"
Recapture Lesson 6-3: 2nd period,1,6,3,4,26,48,116,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",33,60,58,174,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage with two team members or fewer",91,60,145,319,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage with two team members or fewer",5,"7,8","カーマイン・コア
ロッド・ピース"
Recapture Lesson 6-5: 3rd period,1,6,5,4,26,78,78,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage with two team members or fewer",35,39,117,117,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage with two team members or fewer",94,78,195,273,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage with two team members or fewer","5,14,4,2,25","7,8","ロッド・ピース
スピア・ピース"
Recapture Lesson 6-6: 4th period,1,6,6,5,30,72,87,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",37,60,87,145,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",97,60,203,261,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","25,1,21","7,27","ガン・ピース
黄の花"
Recapture Lesson 7-2: 1st period,1,7,2,5,28,56,112,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",39,48,84,168,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",99,84,168,336,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds","2,29,30,5",8,"ハンマー・ピース
カーマイン・コア
ブロンズ・メタル"
Recapture Lesson 7-3: 2nd period,1,7,3,5,26,130,52,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",41,54,156,78,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",102,78,338,156,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","2,14,29","7,16","ガン・ピース
ハンマー・ピース"
Recapture Lesson 7-5: 3rd period,1,7,5,5,28,56,112,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",43,57,84,168,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",104,84,140,336,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","2,14,29,5",16,"カーマイン・コア
スピア・ピース
ブロンズ・メタル"
Recapture Lesson 7-6: 4th period,1,7,6,5,32,96,64,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",45,66,128,96,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",107,66,288,224,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","29,21,1","7,31","黄の花
ロッド・ピース"
Recapture Lesson 8-2: 1st period,1,8,2,6,36,105,70,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",19,72,140,105,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",109,72,245,245,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,21","7,8","ハンマー・ピース
蒼の涙
パープル・クォーツ"
Recapture Lesson 8-3: 2nd period,1,8,3,6,30,90,90,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 50 combo",21,60,120,150,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",112,90,210,300,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 100 combo","2,14,29",16,"ソード・ピース
エンダイブ・コア"
Recapture Lesson 8-5: 3rd period,1,8,5,6,32,128,64,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 50 combo",23,66,160,96,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",114,63,320,192,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 100 combo","2,26,14","16,28",ブロンズ・メタル
Recapture Lesson 8-6: 4th period,1,8,6,12,34,132,66,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments",25,66,165,99,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",117,66,297,198,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments","2,29,5,26","7,31","ハンマー・ピース
蒼の涙"
Recapture Lesson 9-2: 1st period,1,9,2,6,28,112,84,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 50 combo",55,57,140,140,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 100 combo",119,84,252,252,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 100 combo","6,1,21,30",17,"蒼の涙
エンダイブ・コア"
Recapture Lesson 9-3: 2nd period,1,9,3,7,30,90,120,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 50 combo",57,60,120,150,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 100 combo",122,90,210,300,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 100 combo","3,1,26,21,6","28,8","パープル・クォーツ
エンダイブ・コア
ロッド・ピース"
Recapture Lesson 9-5: 3rd period,1,9,5,7,32,96,96,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments",59,66,128,128,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments",124,66,256,256,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments","30,3,22","7,31,17","ソード・ピース
エンダイブ・コア"
Recapture Lesson 9-6: 4th period,1,9,6,7,34,165,33,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments",61,66,198,66,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments",127,66,396,132,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Clear stage without getting status ailments","3,30,5,14,22","8,17,31","エンダイブ・コア
蒼の涙"
Recapture Lesson 10-2: 1st period,1,10,2,7,34,52,132,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 50 combo",63,66,66,198,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 100 combo",129,66,165,363,"- Clear stage without anyone being defeated
- Clear stage without swapping team member
- Achieve 100 combo","3,15,6","16,17","スピア・ピース
ブロンズ・メタル
パープル・クォーツ"
Recapture Lesson 10-3: 2nd period,1,10,3,8,34,136,68,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",65,69,170,102,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",132,69,306,204,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","3,6,30,22","7,8","ブロンズ・メタル
ハンマー・ピース"
Recapture Lesson 10-5: 3rd period,1,10,5,8,30,120,60,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",67,60,150,120,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",134,90,330,210,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","3,26,30","7,28","スピア・ピース
ガン・ピース"
Recapture Lesson 10-6: 4th period,1,10,6,8,32,155,62,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",69,63,186,93,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",137,90,360,150,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","3,30,6,29","8,31","ブロンズ・メタル
スピア・ピース
パープル・クォーツ"
Recapture Lesson 11-2: 1st period,1,11,2,8,32,93,124,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",71,63,124,155,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",139,93,217,310,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds","4,6,35,25",8,"ブロンズ・メタル
ソード・ピース"
Recapture Lesson 11-3: 2nd period,1,11,3,9,32,128,96,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",74,66,160,128,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",142,96,320,256,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds","4,35,6,21","7,8","スピア・ピース
ソード・ピース"
Recapture Lesson 11-5: 3rd period,1,11,5,9,32,93,124,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",76,63,124,155,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",144,93,217,310,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","4,25,35",27,"エンダイブ・コア
ロッド・ピース"
Recapture Lesson 11-6: 4th period,1,11,6,9,34,100,99,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",78,66,132,132,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",147,99,297,264,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","4,35,6,21,25","7,27","スピア・ピース
エンダイブ・コア"
Recapture Lesson 12-2: 1st period,1,12,2,10,36,58,100,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",80,72,70,210,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",149,69,175,385,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","35,21,4,6","7,37","ガン・ピース
パープル・クォーツ
アズライト・メタル"
Recapture Lesson 12-3: 2nd period,1,12,3,10,34,165,54,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",82,66,198,66,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",152,99,396,165,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments","35,21,4,15","16,37","ガン・ピース
カーマイン・コア"
Recapture Lesson 12-5: 3rd period,1,12,5,10,34,78,136,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",84,69,102,170,"- Clear stage without anyone being defeated
- Achieve 100 combo
- Clear stage without getting status ailments",154,102,204,340,"- Clear stage without anyone being defeated
- Achieve 100 combo
- Clear stage without getting status ailments","4,35,6,21","7,8,37","ロッド・ピース
碧の涙"
Recapture Lesson 12-6: 4th period,1,12,6,18,36,140,105,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",86,72,175,140,"- Clear stage without anyone being defeated
- Achieve 100 combo
- Clear stage without getting status ailments",157,69,306,238,"- Clear stage without anyone being defeated
- Achieve 100 combo
- Clear stage without getting status ailments","35,4,25","7,27,37","パープル・クォーツ
ガン・ピース"
Recapture Lesson 13-2: 1st period,1,13,2,11,42,90,120,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",74,60,120,180,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",138,90,240,360,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","4,39,35,21",41,"スピア・ピース
碧の涙"
Recapture Lesson 13-3: 2nd period,1,13,3,11,32,124,93,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",77,63,155,124,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",141,96,310,248,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","4,39,21,5","7,41","スピア・ピース
パープル・クォーツ
アズライト・メタル"
Recapture Lesson 13-5: 3rd period,1,13,5,11,32,64,128,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",79,66,96,192,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",144,96,192,416,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","4,5,21,39","8,41","ソード・ピース
スピア・ピース"
Recapture Lesson 13-6: 4th period,1,13,6,12,38,84,114,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",81,78,114,190,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",147,78,228,342,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","5,39,4,21","8,41","カーマイン・コア
ハンマー・ピース"
Recapture Lesson 14-2: 1st period,1,14,2,12,32,78,128,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",84,66,96,192,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",150,96,224,384,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","4,39,14,21","41,17","碧の涙
ロッド・ピース
アズライト・メタル"
Recapture Lesson 14-3: 2nd period,1,14,3,12,34,66,132,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",86,66,99,198,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",153,99,165,429,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","4,5,21,39","16,41","碧の涙
ハンマー・ピース"
Recapture Lesson 14-5: 3rd period,1,14,5,13,38,155,62,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",88,63,217,93,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",156,93,434,155,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","5,21,4,39","7,41","ソード・ピース
ガン・ピース"
Recapture Lesson 14-6: 4th period,1,14,6,13,36,105,105,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",91,72,140,175,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",158,105,245,315,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","4,5,39,21","41,8","ロッド・ピース
ソード・ピース"
Recapture Lesson 15-2: 1st period,1,15,2,13,36,144,108,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school year 1 students",93,72,180,144,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school year 1 students",161,108,360,252,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school year 2 students","30,25,3,2",27,"碧の涙
パープル・クォーツ
アズライト・メタル"
Recapture Lesson 15-3: 2nd period,1,15,3,14,34,100,99,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school year 1 students",95,66,132,165,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school year 1 students",164,99,297,330,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school year 2 students","3,25,29,2,5","7,27","カーマイン・コア
ソード・ピース"
Recapture Lesson 15-5: 3rd period,1,15,5,14,50,128,128,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only middle school year 2 students",98,66,160,160,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only middle school year 2 students",167,96,288,320,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only middle school students","29,25,4,35",27,"ガン・ピース
パープル・クォーツ"
Recapture Lesson 15-6: 4th period,1,15,6,14,34,99,132,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only middle school year 2 students",100,66,132,198,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only middle school year 2 students",170,99,231,396,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only middle school students","35,25,3","7,8,27","碧の涙
ロッド・ピース"
Recapture Lesson 16-2: 1st period,1,16,2,15,34,136,102,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only middle school year 1 students",102,69,170,170,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only middle school year 1 students",173,102,306,306,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school students","5,21,14",8,"ガン・ピース
ハンマー・ピース
グリーン・クォーツ"
Recapture Lesson 16-3: 2nd period,1,16,3,15,50,155,62,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only middle school year 1 students",105,63,217,124,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only middle school year 1 students",176,93,403,217,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school students","4,5,39,21,35","8,37","ロッド・ピース
蒼の涙"
Recapture Lesson 16-5: 3rd period,1,16,5,15,54,66,165,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only high school year 2 students",107,66,99,231,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only high school year 2 students",179,99,198,429,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only high school year 1 students","14,4,35,2","16,37","アズライト・メタル
ソード・ピース"
Recapture Lesson 16-6: 4th period,1,16,6,24,52,69,160,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only high school year 2 students",109,66,96,224,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only high school year 2 students",182,96,192,448,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with only high school year 1 students","35,14,21,39","37,8","スピア・ピース
ガン・ピース"
Recapture Lesson 17-2: 1st period,1,17,2,16,52,128,96,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only middle school year 3 students",112,66,160,160,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only middle school year 3 students",185,96,320,320,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with only high school year 3 students","25,2,30,15",17,"ロッド・ピース
蒼の涙
グリーン・クォーツ"
